daynumber,dayofweek,meantemp,visib,wdsp,fog,prcp
365,2,33.9,5.9,7.1,0,0.38
364,1,36.6,4,9.9,0,0.07
363,7,37.7,4,7.5,0,0.05
362,6,38.3,5.4,9.2,0,0.08
361,5,39.1,4.5,10.3,1,0.06
360,4,36.3,5.5,11.3,0,0.14
359,3,32,5,9.6,0,0.02
358,2,32.7,5.2,9.7,0,0.27
357,1,37.5,5.2,7.6,0,0.35
356,7,41.5,6.1,14.5,0,0.08
355,6,35.2,4.8,11.1,0,0.02
354,5,27.4,3.6,7.7,0,0
353,4,24.1,2.4,8.1,1,0
352,3,31.1,1.8,3.6,1,0
351,2,27.7,2.6,5.2,0,0
350,1,27,5.1,5.3,0,0.04
349,7,28.5,5.2,8.5,0,0
348,6,28.9,4.8,5.4,0,0
347,5,30.1,1.7,3,1,0
346,4,31.5,3.3,4.8,0,0.29
345,3,32.1,2.4,7.6,0,0.17
344,2,36.1,5.6,12.7,0,0.33
343,1,41.1,6.2,13,0,0.09
342,7,41.4,5.8,12.4,0,0.11
341,6,39.8,5,12.4,0,0.01
340,5,30.2,4,8,0,0
339,4,29.9,4.3,5,1,0.05
338,3,41.1,4.2,9,0,0.12
337,2,40.6,5,13.4,0,0.14
336,1,32.2,3.9,8.1,0,0
335,7,23,3.9,7.8,0,0
334,6,23.1,5.6,8.8,0,0
333,5,21.7,999.9,11.1,0,0
332,4,25.2,3.3,4.6,0,0
331,3,27.6,5.2,7.2,0,0
330,2,35.8,5,11.3,0,0
329,1,40.8,3.4,4,0,0
328,7,38.2,3.3,5.7,1,0.02
327,6,35.3,2.9,5.1,1,0
320,6,38.5,6.2,9.2,0,0
319,5,42.2,3.9,3.7,1,0.02
318,4,45.3,5.7,7.4,0,0.06
317,3,51.2,4.4,7.4,0,0
316,2,47,2.3,4,1,0
315,1,48,3.4,7.7,0,0
314,7,44.2,1.1,3.5,1,0
313,6,42.1,0.9,1.7,1,0
312,5,44.1,2.4,3.9,1,0
311,4,49.6,4.5,5.9,0,0
310,3,49.6,4.5,5.6,0,0
309,2,49.8,1.7,5.5,1,0
308,1,49.9,3.5,8.4,0,0
307,7,49.3,3.2,5.5,1,0.13
306,6,56.5,5.6,5,0,0
305,5,55.6,999.9,9.4,0,0
304,4,52,999.9,6.3,0,0
303,3,62.7,999.9,14.5,0,0
302,2,51.2,3.1,7.1,0,0.37
301,1,40.5,4.1,8.2,0,0.41
300,7,46.9,4.9,7,0,0
299,6,47.9,7.1,7.6,0,0.45
298,5,43.4,5.5,11.9,0,0.01
297,4,43.5,7.5,14.5,0,0.63
296,3,43.6,5.1,14.2,0,0.28
295,2,41.8,3.6,4.7,1,0
294,1,42.5,4.4,4.1,1,0.01
293,7,47.3,3.2,4.3,0,0.08
292,6,47.7,1.1,3.9,1,0
291,5,54.3,3.4,2.5,1,0
290,4,53.5,5.6,3.4,0,0.02
289,3,52.5,5.6,3.7,0,0
288,2,52.9,4.2,4.2,0,0
287,1,54.2,3.2,4.4,1,0
286,7,53.9,3.1,2.9,0,0
285,6,54.9,3.6,4.4,0,0
284,5,55.4,3.8,4,0,0
283,4,54.4,2.1,4.3,0,0
282,3,48.1,2.1,2.5,1,0
281,2,47.1,6.3,3.1,0,0
280,1,58.6,7.3,7.8,0,0
279,7,55.3,3,5.9,0,0
278,6,49.5,3.9,5.7,0,0
277,5,45.9,5.9,7.3,0,0.02
276,4,46.6,6.6,13.1,0,0.07
275,3,46.3,6.2,9.4,0,0.07
274,2,48.6,5.5,5.7,0,0
273,1,43.5,5.1,4.6,0,0
272,7,44.7,7.2,4.2,0,0
271,6,58,6.2,10.7,0,0
270,5,54.8,7.5,8.8,0,0
269,4,45.7,4.5,9.5,0,0
268,3,42.6,5.5,8.5,0,0.07
267,2,40.7,6.2,10.5,0,0
266,1,56,6.1,11.2,0,0
265,7,55.4,6,9.8,0,0
264,6,68.2,5.7,8.1,0,0
263,5,65.9,6.2,4.4,0,0
262,4,67,999.9,6,0,0
261,3,71.1,999.9,5.9,0,0
260,2,51.8,5.6,3.4,0,0
259,1,55.7,5.8,3.7,0,0
258,7,61.6,3.9,6,0,0.7
257,6,60.5,5.7,4.4,0,0.31
256,5,66.1,999.9,3.8,0,0
255,4,68.4,4.8,6.4,0,0
254,3,61.7,6.3,3.6,0,0
253,2,58.8,5.7,2.8,0,0
252,1,57,3.1,2.5,1,0.02
251,7,59.2,4.3,4.1,1,0
250,6,61,5.2,2.1,0,0
249,5,59.4,4.7,4.2,0,0
248,4,62.5,4.8,5.3,0,0.15
247,3,64.7,5.7,3.6,0,0.02
246,2,67.8,6.8,8.2,0,0.29
245,1,68,6.2,8,0,0.08
244,7,67.5,6.2,8.5,0,0
243,6,63.1,5.4,5,0,0.1
242,5,66.1,4.5,6.9,0,0
241,4,59.5,5.2,5.4,0,0
240,3,61.3,6.5,4.8,0,0
239,2,55.3,3.6,4.2,1,0
238,1,53.9,6.2,4.3,0,0.31
237,7,62.2,6,5.3,0,0.2
236,6,72.8,7.1,6.7,0,0.31
235,5,75.2,9.3,7,0,0
234,4,66.7,7.5,5.8,0,0
233,3,66.6,7.2,4.5,0,0
232,2,74.9,4.7,6.1,0,0
231,1,71.3,4.9,3.3,0,0
230,7,70,4.4,2.7,0,0
229,6,69.7,6.5,6,0,0
228,5,66.2,6.5,4.6,0,0
227,4,64.3,5.8,5,0,0.16
226,3,69.1,7.1,4.8,0,0
225,2,73.5,999.9,6.6,0,0
224,1,65.1,7.3,3.7,0,0.02
223,7,63.8,7.5,4.6,0,0.12
222,6,73.7,6.5,7,0,0.01
221,5,79.5,7.5,7.4,0,0
220,4,71.4,8.9,7.2,0,0.03
219,3,69.4,999.9,5.2,0,0
218,2,66.9,7.6,4.5,0,0
217,1,71.8,5.7,4.3,0,0.02
216,7,73.2,6.1,3.7,0,0.02
215,6,74.2,6.7,4.5,0,0
214,5,74.9,5.1,4.7,0,0
213,4,73.5,7.5,6.7,0,0
212,3,73.3,5,6.4,1,0
211,2,70.2,4.2,4.3,1,0
210,1,69.4,4.3,3.9,1,0.43
209,7,72.3,3.8,2.8,1,0
208,6,67.3,4.1,3.8,1,0.2
207,5,67.9,4.2,5.5,0,0.16
206,4,68.6,5.9,5.4,0,0
205,3,69,9.3,5.3,0,0
204,2,69.3,6.1,6.6,0,0
203,1,70.4,999.9,4.4,0,0
202,7,67,5.7,3.5,0,0
201,6,67.7,4.7,6.2,0,0.18
200,5,64.1,4.8,7.1,0,0.7
199,4,65.2,4.8,9.2,0,1.04
198,3,63.2,5,8.8,0,0
197,2,65.9,7.2,6.8,0,0
196,1,66.6,7.8,7,0,0.01
195,7,63.8,6.2,8.5,0,0.07
194,6,64,6.2,8.1,0,0.17
193,5,61.7,5.8,7,0,0.15
192,4,61.9,3.8,3.4,1,0.22
191,3,65,6.2,4.8,0,0
190,2,67,6.2,4.3,0,0
189,1,64.6,9.3,5.4,0,0
188,7,66.6,10.4,6.1,0,0
187,6,70.7,7.8,6.6,0,0
186,5,72.6,999.9,5.2,0,0
185,4,66.7,999.9,4.2,0,0
184,3,63.1,999.9,7.3,0,0
183,2,55.5,7.5,6.1,0,0
182,1,53.7,8.7,7.1,0,0
181,7,55.8,7,10.5,0,0
180,6,70.1,7.5,8.2,0,0.13
179,5,63.5,6.1,8,0,0.29
178,4,59.5,5.6,7.3,0,0.32
177,3,54.5,6.1,3.6,0,0.01
176,2,56.7,6.2,4.7,0,0.08
175,1,53.8,6.7,7.7,0,0.05
174,7,51.8,7.6,7.6,0,0.01
173,6,54.1,8.5,8,0,0.2
172,5,71.1,6.7,10.8,0,0.08
171,4,69.7,999.9,3.4,0,0
170,3,69.2,999.9,4.7,0,0
169,2,66.2,7,4.3,0,0
168,1,68.6,999.9,4.8,0,0
167,7,67.1,999.9,4.6,0,0
166,6,62.4,6.7,5.5,0,0
165,5,61.8,6.4,7.4,0,0
164,4,58.8,5.6,4.9,0,0.24
163,3,62.3,5,4.9,0,0.49
162,2,67.4,6.7,5.8,0,0
161,1,72.7,5.8,4.1,0,0.02
160,7,71.2,5.1,6.6,0,0
159,6,67.2,6.3,3.3,0,0.02
158,5,62,999.9,6.9,0,0
157,4,60.3,7.8,9.2,0,0
156,3,66,6.1,5.1,0,0.01
155,2,66.6,4.1,3.7,1,0.17
154,1,63.3,4.7,5,0,0.15
153,7,66.9,6.2,5.9,0,0.07
152,6,72,7.1,6.5,0,0
151,5,68.2,4.4,4.8,0,0
150,4,67.5,7.1,4.4,0,0
149,3,66.6,9,6,0,0
148,2,71.4,999.9,8.9,0,0
147,1,68.2,2.8,5.6,0,0
146,7,64.6,6.3,3.4,0,0
145,6,62.7,7,6.6,0,0
144,5,63.6,6.2,7.8,0,0.07
143,4,64.4,6.7,6,0,0.02
142,3,61.9,8.5,4.3,0,0
141,2,57,999.9,8.8,0,0
140,1,56.4,7.5,6.1,0,0
139,7,56.5,5.2,6.9,0,0.04
138,6,54.8,5.6,9,0,0.85
137,5,54.9,3.8,10,0,0.44
136,4,52,3.5,4.7,1,0
135,3,51.6,5.3,5.3,1,0.08
134,2,56.5,10.4,10.1,0,0
133,1,62.9,999.9,10,0,0
132,7,62,4.1,5.2,1,0.56
131,6,63.4,5.9,4.8,1,0
130,5,66.4,5.6,8.9,0,0.11
129,4,64.5,5.1,5.8,0,0.91
128,3,59.1,6.2,6.6,0,0.31
127,2,56.4,999.9,6.4,0,0
126,1,53.8,999.9,6.8,0,0
125,7,54.5,999.9,6.3,0,0
124,6,59.6,5.8,8.5,0,0.28
123,5,68.2,6.2,5.4,0,0.67
122,4,61.4,999.9,7.1,0,0
121,3,62.7,999.9,7.8,0,0
120,2,68.5,7.8,10,0,0
119,1,66.3,6.8,7,0,0
118,7,61,999.9,7.3,0,0
117,6,49.2,6.7,4.8,0,0.15
116,5,51.7,6.5,6.3,0,0
115,4,63,7,11.7,0,0
114,3,59.5,3.8,8.4,1,0.02
113,2,57.8,6.8,7.1,0,0.35
112,1,55.3,999.9,4.5,0,0
111,7,62.8,999.9,7.7,0,0
110,6,57.1,6.2,3,0,0
109,5,57,999.9,6.4,0,0
108,4,52.5,2.3,4.6,1,0
107,3,55.4,5.1,7.9,0,0.07
106,2,62.3,6.8,5.9,0,0.02
105,1,60.5,999.9,7,0,0
104,7,56.3,999.9,6.5,0,0
103,6,58.3,6.7,6.5,0,0
102,5,61.4,999.9,8.7,0,0
101,4,52.7,999.9,3.9,0,0
100,3,57.1,999.9,6.2,0,0
99,2,62.9,999.9,9.9,0,0
98,1,58.7,5.7,10.5,0,0
97,7,47.6,999.9,10,0,0
96,6,43.2,7.3,7.5,0,0
95,5,55.4,12.4,10,0,0
94,4,55,999.9,6.8,0,0
93,3,50,4.7,8.4,0,0
92,2,38,6.5,13,0,0.02
91,1,37.5,4.9,14.4,0,0.08
90,7,50.5,6,7.7,0,0
89,6,43.8,4.8,4.6,0,0
88,5,40.8,4.6,7.7,0,0.08
87,4,35.8,4.6,6.5,0,0
86,3,34.3,4.7,5.7,0,0.06
85,2,35.8,4.7,5.2,0,0
84,1,35,3.8,5.6,0,0
83,7,35.4,2.9,4.5,0,0
82,6,32.6,3.3,3.1,0,0
81,5,29.9,3.3,7.9,0,0
80,4,26.9,5.2,7.1,0,0
79,3,24.5,5.5,5,0,0
78,2,19.6,6.2,8,0,0
77,1,18.5,6.8,15.9,0,0
76,7,21.1,5.6,12.9,0,0.44
75,6,32.2,2.6,9.6,0,0
74,5,37.1,3.9,5.2,0,0.02
73,4,39.7,5.7,5.4,0,0
72,3,47.5,6.2,9.8,0,0.08
71,2,51.2,6.5,12.9,0,0
70,1,48.3,4.9,5.9,0,0
69,7,40.8,3.3,4.6,0,0.03
68,6,38.5,4.8,8.4,0,0
67,5,38.5,3.9,7.7,0,0
66,4,38,3.1,8.1,1,0.06
65,3,36.1,2.4,4.5,1,0.03
64,2,27.3,2.8,4.9,0,0
63,1,17.1,2.9,3.9,0,0
62,7,10.7,3.4,3.5,0,0
61,6,12.1,4.7,7.4,0,0
60,5,9.2,4.5,4.5,0,0.01
59,4,11,5.8,8.5,0,0
58,3,9.1,5.6,10.5,0,0
57,2,8.5,5,6.1,0,0
56,1,8.2,5.4,5,0,0
55,7,16.8,4.5,8.5,0,0
54,6,21.7,5.5,7.2,0,0
53,5,25.3,6.1,8.2,0,0
52,4,25.2,5.3,5.4,0,0
51,3,27.4,4.4,6.4,0,0
50,2,29.8,6.1,5.8,0,0
49,1,31.2,4.8,4.3,0,0
48,7,30.4,3,3.4,0,0.01
47,6,30.4,3.1,9,0,0
46,5,28.7,4.1,4.3,0,0
45,4,29.2,3.5,6.5,0,0.01
44,3,29.7,3.7,2.9,0,0
43,2,32.3,3.8,4.8,0,0
42,1,30.8,3,5.9,0,0
41,7,27.5,3.1,2.2,0,0
40,6,27,3.4,2.5,0,0
39,5,28,1.5,5.3,0,0.03
38,4,27.4,3.5,5.3,0,0.04
37,3,17.5,3.2,3.4,0,0
36,2,23.3,5.1,4.8,0,0.09
35,1,31.4,2.9,4.9,0,0.11
34,7,30.1,2.3,2.7,1,0
33,6,34.5,2.8,3.6,0,0.3
32,5,39.3,3.8,5.1,1,0
31,4,36.5,999.9,9.3,0,0
30,3,38.4,6.1,14.8,0,0.08
29,2,44.9,6,14.1,0,0.08
28,1,38.2,3.9,11.4,1,0.03
27,7,34.8,0.7,3.2,1,0.01
26,6,34,3.7,5.9,0,0
25,5,37.8,4.8,8.6,0,0
24,4,35.6,4.2,11.1,0,1.57
23,3,28,3.7,4.8,0,1.57
22,2,25.9,3.9,5.8,0,0.1
21,1,27.7,2.6,6.2,0,0.02
20,7,30.2,3.2,5.3,1,0
19,6,33.2,5.8,11.6,0,0.02
18,5,33.7,6,14.1,0,0.09
17,4,32.6,5.2,10.1,0,0.06
16,3,27.2,4.3,9.6,0,0.02
15,2,21.6,4.4,6.8,0,0
14,1,23.7,6.4,9.9,0,0
13,7,29.1,6.3,13.3,0,0
12,6,31.5,4,9.4,0,0.01
11,5,35,1.1,3.4,1,0.02
10,4,36.7,2.7,3.3,0,0.04
9,3,31.9,999.9,11.2,0,0
8,2,30.8,6.4,7.9,0,0.03
7,1,39,3.6,7.2,0,0
6,7,44.3,4.1,4.2,1,0.24
5,6,42.6,6.2,11.2,0,0
4,5,39.9,6.5,11.6,0,0.09
3,4,35.6,5.2,10.3,0,0.01
2,3,34.9,3.9,6.8,0,0
1,2,40.3,4.3,8.2,0,0.02
